"","Year3","id","Electoral_District_Number","clea","marg","lcomp","lnonsocsup","votensoc","socmarg","difcro2","rightmar2","diffvotensoc","diffturn","diffturnraw","turnrawfir","turnfir"
"682","1912","310",310,"Conservative",0.0486002767066027,3,0.25,0.317270613170057,0.051279032115628,1,0,0.116630367311381,-0.0273433343972763,-1028,33971,0.90358016810299
"683","1890","311",311,"Conservative",0.00592456059508917,4,0.25,0.477980383121585,-0.42985978539925,0,0,0.029846178100122,0.146847267631948,3144,15191,0.709528257823447
"684","1893","311",311,"Liberal",0.109930576516752,4,0,0.497132508300634,-0.277512828252339,1,1,0.0933493125684172,0.0161253167472932,350,16565,0.763188205482608
"685","1898","311",311,"Liberal",0.028387683513057,4,0,0.42562037157334,-0.233012862154086,0,0,0.155532104160779,0.0394836750189825,884,15394,0.68756978873554
"686","1903","311",311,"Conservative",0.0373957178694359,4,0,0.360539058397993,0.0217023510880345,1,0,0.131080462566423,0.0747300944669366,1772,17141,0.722882928475034
"687","1907","311",311,"Conservative",0.0384152404877793,4,0.4,0.364526089914691,-0.0218767990788716,1,1,0.136560419746436,-0.0847975865302295,-2080,19107,0.778955522035142
"688","1912","311",311,"Liberal",0.107131257829536,3,0.2,0.308866515102306,0.143089129123556,1,1,0.232847253832806,0.0220314398839625,562,21553,0.844917480105061
"689","1890","312",312,"Liberal",0.0852125006632355,4,0.25,0.482039581896323,-0.290125749456147,0,0,0.03964901357534,0.10555952097708,2662,18847,0.747362994686335
"690","1893","312",312,"Liberal",0.107549372507053,4,0,0.460112851444693,-0.172341667477381,1,1,0.158315100316592,0.0160889670195284,421,20558,0.78564604272557
"691","1898","312",312,"Liberal",0.0545186640471513,4,0.4,0.361493123772102,-4.91159135559971e-05,0,0,0.219422475323602,0.0312365668433873,872,20360,0.729330849691933
"692","1898","312",312,"Liberal",0.0920662960461371,4,0.4,0.317711851197589,0.151088481321764,0,0,0.167474149242649,0.120802563745297,3468,19247,0.670440295388045
"693","1903","312",312,"Conservative",0.233802349230067,5,0.2,0.188228946166936,0.237454862408168,1,1,0.292629790048418,-0.00793418528273671,-244,24093,0.783435762364647
"694","1912","312",312,"Liberal",0.178606949212358,4,0.2,0.317815778497866,0.335718181526517,1,1,0.179511074479047,0.0498292544109277,1751,31169,0.886994877632328
"695","1898","313",313,"Liberal",0.133097136108651,4,0,0.405019191024505,-0.117744316504281,0,0,0.254093436961843,-0.0985423494911161,-2285,16935,0.730334655856477
"696","1903","313",313,"Liberal",0.0403890453033017,5,0,0.313642180701305,0.0304069618633223,0,1,0.346016163582532,-0.140070153312576,-3554,19535,0.76991289953888
